         20.75660128          0.00310419         -0.00101126          0.00089246
          0.50000000          3.80438211          0.00450977          1.08780712          0.00100312
          1.00000000          5.26848995          0.00636809          1.03656763          0.00098212
          1.50000000          6.33703785          0.00813152          0.98839660          0.00097105
          2.00000000          7.11551765          0.00964017          0.95449655          0.00100286
          2.50000000          7.68887731          0.01098322          0.93036134          0.00103226
          3.00000000          8.12076753          0.01232881          0.91223122          0.00105976
          3.50000000          8.45341908          0.01358065          0.89826543          0.00107263
          4.00000000          8.71481903          0.01480497          0.88762551          0.00113066
          4.50000000          8.92467317          0.01593739          0.87940441          0.00119115
          5.00000000          9.09617820          0.01694838          0.87306553          0.00127389
          5.50000000          9.23852697          0.01786842          0.86801072          0.00134620
          6.00000000          9.35824691          0.01877293          0.86404257          0.00140788
          6.50000000          9.46024310          0.01968736          0.86073979          0.00148030
          7.00000000          9.54832478          0.02060213          0.85791271          0.00155132
          7.50000000          9.62499317          0.02149456          0.85563934          0.00162523
          8.00000000          9.69207614          0.02235219          0.85357490          0.00167618
          8.50000000          9.75118807          0.02320232          0.85157334          0.00171554
          9.00000000          9.80364518          0.02399489          0.84973995          0.00176291
          9.50000000          9.85057241          0.02476509          0.84811784          0.00180901
         10.00000000          9.89270680          0.02552247          0.84668191          0.00185445
         10.50000000          9.93061172          0.02625651          0.84535511          0.00190179
         11.00000000          9.96511252          0.02694634          0.84415259          0.00194879
         11.50000000          9.99679304          0.02762221          0.84311868          0.00200123
         12.00000000         10.02624964          0.02826860          0.84214291          0.00205386
         12.50000000         10.05374290          0.02889112          0.84122699          0.00210908
         13.00000000         10.07933603          0.02948298          0.84041089          0.00217030
         13.50000000         10.10326298          0.03006614          0.83963671          0.00223214
         14.00000000         10.12580512          0.03064930          0.83894641          0.00229169
         14.50000000         10.14705826          0.03121339          0.83827201          0.00235297
         15.00000000         10.16718195          0.03173864          0.83757480          0.00241513
         15.50000000         10.18606756          0.03222125          0.83689823          0.00247835
         16.00000000         10.20383581          0.03267057          0.83630448          0.00253987
         16.50000000         10.22052156          0.03308376          0.83571874          0.00259993
         17.00000000         10.23621785          0.03346939          0.83520613          0.00265918
         17.50000000         10.25100734          0.03384272          0.83473348          0.00271165
         18.00000000         10.26498403          0.03420646          0.83432287          0.00276470
         18.50000000         10.27824627          0.03458288          0.83392394          0.00282207
         19.00000000         10.29074337          0.03496804          0.83355228          0.00287612
         19.50000000         10.30248872          0.03538062          0.83313696          0.00293051
         20.00000000         10.31361860          0.03583157          0.83279400          0.00297873
         20.50000000         10.32419213          0.03631776          0.83246060          0.00302348
         21.00000000         10.33404182          0.03681872          0.83218482          0.00306695
         21.50000000         10.34326242          0.03732725          0.83188411          0.00311015
         22.00000000         10.35191220          0.03783534          0.83156517          0.00314711
         22.50000000         10.36010460          0.03830818          0.83127793          0.00317515
         23.00000000         10.36797716          0.03875582          0.83101379          0.00320360
         23.50000000         10.37554136          0.03918291          0.83072491          0.00322825
         24.00000000         10.38275102          0.03958655          0.83042173          0.00325383
         24.50000000         10.38969119          0.03997752          0.83011086          0.00327955
         25.00000000         10.39627344          0.04035843          0.82980483          0.00330371
         25.50000000         10.40256844          0.04073623          0.82952815          0.00332708
         26.00000000         10.40860775          0.04112645          0.82925957          0.00335209
         26.50000000         10.41436155          0.04151591          0.82895947          0.00337663
         27.00000000         10.41981384          0.04190157          0.82869206          0.00340277
         27.50000000         10.42500723          0.04229159          0.82843284          0.00342738
         28.00000000         10.42991977          0.04267952          0.82817913          0.00345362
         28.50000000         10.43458580          0.04306934          0.82793692          0.00347929
         29.00000000         10.43908814          0.04346269          0.82770890          0.00350512
         29.50000000         10.44344518          0.04386044          0.82746661          0.00352776
         30.00000000         10.44773532          0.04425469          0.82722653          0.00355102
         30.50000000         10.45188690          0.04464141          0.82699288          0.00357370
         31.00000000         10.45589329          0.04502081          0.82676736          0.00359402
         31.50000000         10.45984209          0.04538773          0.82655643          0.00361448
         32.00000000         10.46371566          0.04575080          0.82636729          0.00363602
         32.50000000         10.46750570          0.04611627          0.82617916          0.00365560
         33.00000000         10.47126215          0.04648526          0.82602023          0.00367841
         33.50000000         10.47496828          0.04684257          0.82586626          0.00369824
         34.00000000         10.47862158          0.04718824          0.82570098          0.00371743
         34.50000000         10.48221390          0.04753420          0.82553609          0.00374036
         35.00000000         10.48571691          0.04788170          0.82537222          0.00376024
         35.50000000         10.48908053          0.04823106          0.82519296          0.00378176
         36.00000000         10.49241395          0.04857764          0.82501506          0.00380249
         36.50000000         10.49568419          0.04892812          0.82484757          0.00382594
         37.00000000         10.49888955          0.04928344          0.82469220          0.00384617
         37.50000000         10.50204675          0.04964060          0.82454225          0.00386791
         38.00000000         10.50517921          0.04999704          0.82438427          0.00388713
         38.50000000         10.50828832          0.05035388          0.82423094          0.00390873
         39.00000000         10.51132518          0.05072296          0.82408125          0.00393143
         39.50000000         10.51429238          0.05110431          0.82394197          0.00395214
         40.00000000         10.51717682          0.05149122          0.82380457          0.00397350
         40.50000000         10.52005319          0.05188708          0.82366962          0.00399433
         41.00000000         10.52290716          0.05228270          0.82355608          0.00401305
         41.50000000         10.52571218          0.05268292          0.82343780          0.00403244
         42.00000000         10.52848820          0.05308262          0.82332209          0.00405206
         42.50000000         10.53124003          0.05348074          0.82321641          0.00407164
         43.00000000         10.53395227          0.05387129          0.82310886          0.00408983
         43.50000000         10.53663965          0.05425392          0.82299659          0.00410766
         44.00000000         10.53928551          0.05463048          0.82287174          0.00412050
         44.50000000         10.54181258          0.05499452          0.82276417          0.00413426
         45.00000000         10.54421853          0.05534793          0.82265847          0.00414891
         45.50000000         10.54649934          0.05569189          0.82256320          0.00416203
         46.00000000         10.54868994          0.05603125          0.82246821          0.00417641
         46.50000000         10.55079906          0.05636513          0.82237805          0.00419148
         47.00000000         10.55284275          0.05668667          0.82229137          0.00420657
         47.50000000         10.55480450          0.05698808          0.82218715          0.00421847
         48.00000000         10.55668881          0.05728336          0.82210873          0.00423159
         48.50000000         10.55848407          0.05757100          0.82202458          0.00424225
         49.00000000         10.56021119          0.05784973          0.82196109          0.00425438
         49.50000000         10.56183123          0.05812606          0.82188469          0.00426599
         50.00000000         10.56337513          0.05840235          0.82181120          0.00427971
         50.50000000         10.56488525          0.05868714          0.82174075          0.00429237
         51.00000000         10.56634635          0.05897346          0.82166608          0.00430319
         51.50000000         10.56774100          0.05926736          0.82158598          0.00431590
         52.00000000         10.56908426          0.05956469          0.82149676          0.00432810
         52.50000000         10.57039415          0.05986133          0.82140851          0.00434117
         53.00000000         10.57167413          0.06016108          0.82131573          0.00435501
         53.50000000         10.57290547          0.06046120          0.82122943          0.00436811
         54.00000000         10.57407174          0.06076093          0.82114138          0.00438056
         54.50000000         10.57524871          0.06106822          0.82104790          0.00439340
         55.00000000         10.57644739          0.06137952          0.82095756          0.00440560
         55.50000000         10.57764506          0.06169594          0.82087365          0.00441876
         56.00000000         10.57879925          0.06202224          0.82079148          0.00442967
         56.50000000         10.57992009          0.06234992          0.82070330          0.00444104
         57.00000000         10.58097239          0.06267943          0.82062233          0.00445330
         57.50000000         10.58198155          0.06301242          0.82056533          0.00446569
         58.00000000         10.58297111          0.06335230          0.82049319          0.00447951
         58.50000000         10.58395701          0.06369859          0.82040976          0.00449527
         59.00000000         10.58490478          0.06405176          0.82032039          0.00451101
         59.50000000         10.58583616          0.06440927          0.82024397          0.00452606
         60.00000000         10.58676893          0.06476899          0.82016383          0.00454168
         60.50000000         10.58765508          0.06512836          0.82007932          0.00455500
         61.00000000         10.58853041          0.06548621          0.81999808          0.00456725
         61.50000000         10.58942755          0.06584486          0.81991603          0.00457898
         62.00000000         10.59036004          0.06620701          0.81983296          0.00459048
